doc_id,file_name,source_title,Source_file_type,issuing_body,country,jurisdiction_level,knowledge_domain,tax_type,taxpayer_type,lifecycle_stage,authority_level,intended_usage,doc_category,topic_tags,effective_date,expiry_date,publication_date,version,supersedes_doc_id,status,language,notes
,NIGERIA_REVENUE_SERVICE_ACT_2025.PDF,"Nigeria Revenue Service (Establishment) Act, 2025",PDF,National Assembly of the Federal Republic of Nigeria,Nigeria,Federal,Primary Acts,"All federal taxes (e.g., Nigeria Tax Act 2025, NTA Act 2025, royalties)","All persons (individuals, companies, etc.) chargeable with federal tax",Enacted,Primary Legislation,Legal framework for federal tax/revenue administration,Establishment Act,"Tax administration, assessment, collection, NRS board, functions, confidentiality",26th June 2025 (assented),Not Available,26th June 2025 (Official Gazette No. 117),2025 No. 4,"Federal Inland Revenue Service (Establishment) Act No. 13, 2007",In force,English,"Establishes NRS as body corporate for federal revenue; includes board composition, funds (4% of collected revenue), savings provisions; administers Nigeria Tax Act 2025 et al. (Second Schedule)."
JRBN-2025,JOINT-REVENUE-BOARD-OF-NIGERIA-(ESTABLISHMENT)-ACT-2025.PDF,"Joint Revenue Board of Nigeria (Establishment) Act, 2025",pdf,Federal Republic of Nigeria Official Gazette,Nigeria,National,Primary Acts,"All (harmonization, administration, disputes)",All,Establishment/Enactment,Primary (Act No. 6),"Revenue coordination, dispute resolution, taxpayer protection",Establishment Act,"JRBN, Tax Appeal Tribunal, Tax Ombud, harmonization, disputes",26th June 2025 ?,None,26th June 2025 ?,2025 No. 6,None identified,Enacted/Active,English,"Published in Official Gazette No. 117, Vol. 112; pages A349-382; complements NTAA and NTA 2025 ?"
NTAA-2025,NIGERIA_TAX_ADMINISTRATION_ACT.PDF,"Nigeria Tax Administration Act, 2025",pdf ?,"Federal Republic of Nigeria Official Gazette, No. 117, Vol. 112 ?",Nigeria,Federal,Primary Acts,"All (income tax, VAT, stamp duties, royalties, surcharge) ?","All (companies, individuals, non-residents, governments) ?",Enactment/Implementation,Primary (Act No. 5) ?,"Tax administration, compliance, collection, dispute resolution",Administration Act,"registration, Tax ID, returns, self-assessment, audits, penalties, state IRS ?",26th June 2025 ?,None,26th June 2025 (Gazette) ?,"2025 No. 5, pages A259-A345 ?","Prior tax admin laws (e.g., obsolete PITA/CITA provisions)",Enacted/Active ?,English,"Complements Nigeria Tax Act 2025; covers NRS jurisdiction, state boards, fiscalisation"
NTA-2025,"THE NIGERIA TAX ACT (NTA), 2025.PDF","Nigeria Tax Act, 2025",pdf ?,"Federal Republic of Nigeria Official Gazette, No. 117, Vol. 112 ?",Nigeria,Federal,Primary Acts,"Income Tax, VAT, Stamp Duties, Hydrocarbon Tax, Petroleum Profits Tax, Surcharge","Companies, individuals, trusts, non-residents, petroleum entities ?Trusts, Partnerships",Enactment (gazetted 26 June 2025),Primary (consolidating Act No. 7) ?,"Unified taxation, compliance simplification, revenue optimization ?",Consolidating Tax Act,"consolidation, repeals, ETR 15%, EDI incentives, hydrocarbon tax, VAT fiscalisation, development levy ?",1st January 2026 ?,None,26th June 2025 (Gazette) ?,"2025 No. 7, pages A385-A597 ?","CITA, PITA, VAT Act, CGT Act, PPT Act, Stamp Duties Act, others (13+ repealed) ?",Enacted/Active ?,English,"Repeals 13 acts, amends PIA/NITDA; introduces CFC/ETR/Pillar 2 alignment, EDI replaces PSI; KPMG summary confirms key changes"
WHT-REGS-2024,DEDUCTION-OF-TAX-AT-SOURCE-WITHHOLDING-REGULATIONS-2024_GAZETTED.PDF,"Deduction of Tax at Source (Withholding) Regulations, 2024",pdf ?,Federal Republic of Nigeria Official Gazette,Nigeria,Federal,Gazetted Regulations,"Withholding (deduction of tax at source) on income under CGT, CITA, PPTA, PITA ?",Corporate and non?corporate recipients; residents and non?residents ?,In force/implementation,"Subsidiary legislation (S.I. No. 34 of 2024) under CITA, PPTA, PITA, CGT Act ?","Prescribing WHT rules, rates, exemptions, compliance, and returns ?",Regulations – Withholding/Tax at Source,"withholding tax, deduction at source, WHT rates, exemptions, small company threshold, remittance, offences, schedules ?",1 January 2025 (with optional early application from 1 July 2024) ?,None stated,"2 October 2024 (Gazette No. 168, Vol. 111) ?","S.I. No. 34 of 2024, pages B755–B766 ?","All prior withholding/deduction?at?source regulations (generic, no specific S.I. numbers named) ?",Enacted/Active ?,English,"Applies to WHT on eligible transactions in First Schedule; introduces lower rates for low?margin sectors, exemptions for small companies and certain transactions, and central templates for remittance and receipts; explicitly revokes all earlier WHT regulations but preserves actions already taken. "
CbC-GUIDE-2018,GUIDELINES-FOR-COUNTRY-BY-COUNTRY-REPORTING-IN-NIGERIA-201801.PDF,Guidelines for Country-by-Country Reporting in Nigeria,pdf ?,"Federal Inland Revenue Service (FIRS), Nigeria ?",Nigeria,Federal,3,Income tax / transfer pricing / CbC reporting ?,Multinational Enterprise (MNE) groups with Nigerian presence ?,Guidance implementing 2018 CbC Regulations,Administrative guidance (Information Circular No. 2018/01) ?,Explaining CbC Regulations and how to complete and file CbC reports ?,Guidelines / administrative circular – CbC reporting,"BEPS Action 13, CbC, transfer pricing, ultimate parent entity, surrogate parent, thresholds, templates ?",3 July 2018 (date of publication) ?,Not specified (assumed in force until replaced),3 July 2018 ?,Information Circular No. 2018/01 ?,None stated (first dedicated CbC guideline),"In force, subject to later TP/CbC updates",English,Supplements the Income Tax (Country-by-Country Reporting) Regulations 2018; aligns with OECD BEPS Action 13 and sets ?160 billion consolidated revenue threshold (?EUR 750m as at Jan 2015). ?
WHT-GUIDE-2025,GUIDELINES-FOR-IMPLEMENTATION-OF-WHT-REGULATIONS-2024.PDF,"Guidelines on the Implementation of Deduction of Tax at Source (Withholding) Regulations, 2024",pdf ?,Federal Inland Revenue Service (FIRS) – Information Circular No. 01/2025 ?,Nigeria,Federal,FIRS / NRS Circulars,"Withholding tax / deduction at source on income under CGT, CITA, PPTA, PITA ?","Companies, partnerships, government MDAs, unincorporated entities, non?residents ?",Implementation guidance for S.I. No. 34 of 2024 ?,Administrative guidance (information circular) ?,"Explaining WHT Regulations 2024, obligations, timing, thresholds, examples, penalties ?",Guidelines / implementation circular – withholding tax,"withholding tax, WHT rates, small company exemption, N2m threshold, related parties, remittance, penalties, exemptions ?",1 January 2025 for the underlying Regulations; circular published 24 February 2025 ?,Not specified (until reviewed/replaced) ?,24 February 2025 ?,Information Circular No. 01/2025 ?,Earlier FIRS WHT circulars on deduction at source (not individually cited) ?,"In force, subject to future amendment ?",English,"Provides worked examples, remittance timelines (21st/10th/30th), clarifies exempt transactions and sanctions for failure to deduct or remit. ?"
KPMG-NTA-NTAA-SUMM-2025,KPMG-SUMMARIES-OF-NTA-NTAA-2025.PDF,"The Nigeria Tax Act (NTA), 2025 & Nigeria Tax Administration Act (NTAA), 2025 – KPMG Summary",pdf ?,KPMG Advisory Services Nigeria ?,Nigeria,Not Applicable,Professional Briefings,"All taxes under NTA/NTAA (income tax, CGT, VAT, stamp duties, etc.) ?","Businesses, companies, individuals, MNEs ?",Analysis/summary of new Acts,Secondary (private sector analysis/summary) ?,"High?level overview of key changes, implications, and recommendations ?",Summary/Analysis Report,"NTA 2025, NTAA 2025, tax consolidation, ETR 15%, CFC rules, Pillar 2, EDI incentives, VAT fiscalisation, CGT integration ?",NTA: 1 Jan 2026; note on bill not yet signed as of Aug 2024 ?,N/A,August 2024 (Issue No. 8.2) ?,Issue No. 8.2 ?,Prior KPMG tax reform newsletters,Published analysis (as of 2024),English,"Highlights NTA repeals 13 acts (CITA, PITA, VAT Act, etc.), introduces CFC/ETR/Pillar 2, EDI replacing PSI, rent relief, digital assets taxation, and NTAA procedures; includes tables on rates, incentives, and recommendations ?"
PITA-CAP-P8-2004,PERSONAL-INCOME-TAX-ACT-BASE.PDF,Personal Income Tax Act (PITA) Cap. P8 LFN 2004,pdf ?,Laws of the Federation of Nigeria (LFN) 2004,Nigeria,Federal,Primary Acts,"Personal income tax (PIT) on individuals, families, trusts, estates ?","Individuals, itinerant workers, communities, families, trustees, executors ?",Repealed/Superseded,Primary (Cap. P8 LFN 2004) ?,"Imposition, assessment, collection of PIT ?",Statute – Personal Income Tax,"PIT, assessable income, deductions, PAYE, self-assessment, appeals, state boards, exemptions ?",25 August 1993 (No. 104 of 1993) ?,Repealed by NTA 2025 s.196 (effective 1 Jan 2026),1993 (consolidated LFN 2004) ?,Cap. P8 LFN 2004 (includes amendments up to 2011) ?,"Cap. 173, 43, 174 LFN 1990 ?",Repealed by NTA 2025 ?,English,"Pre?NTA PIT law; superseded by NTA 2025 Ch. 2 (individual taxation); covers imposition, ascertainment, collection, state administration ?"
PITA-AMDT-2011,PIT-AMENDMENT-GAZETTED-14-JUNE-2011.PDF,"Personal Income Tax (Amendment) Act, 2011",pdf ?,"Federal Republic of Nigeria, assented by President Goodluck Jonathan GCFR ?",Nigeria,Federal,Primary Acts,Personal income tax (PIT) ?,"Individuals, itinerant workers, employers ?",Repealed/Superseded,Primary amending Act (No. 20 of 2011) ?,Amends PITA Cap. P8 LFN 2004 (35 sections amended) ?,Amending Statute – PIT,"PIT amendment, consolidation relief ?200k, presumptive tax, self-assessment, itinerant workers, PAYE returns, Tax Appeal Tribunal ?",14 June 2011 ?,Repealed by NTA 2025 s.196 (effective 1 Jan 2026) ?,24 June 2011 (Gazette No. 115) ?,Act No. 20 of 2011 ?,N/A (amends PITA Cap. P8 LFN 2004) ?,Repealed by NTA 2025 ?,English,"Key changes: introduces itinerant workers taxation, ?200k CRA +20% gross income relief, presumptive regime, self-assessment, PAYE employer returns by 31 Jan, penalties increased, Tax Appeal Tribunal replaces commissioners ?"
ATAF-VAT-SPECIAL-ARRANGEMENTS-2025,VAT-PAC_ENGLISH_DIGITAL-1.PDF,VAT Policy and Administration Considerations for Special Business Arrangements,pdf ?,"African Tax Administration Forum (ATAF), co-authored by Mauritius Revenue Authority & University of Pretoria ?",Pan-African (applicable to Nigeria via FIRS contributor),Regional/Continental,Professional Briefings,Value Added Tax (VAT) ?,"Businesses with special arrangements (credit sales, leases, discounts, vouchers, consignments) ?",Policy guidance,Secondary (policy brief/best practice) ?,"VAT treatment of complex transactions: time/value of supply, credit agreements, discounts, prepaid vouchers, consignments ?",Policy Brief / Guidance,"VAT time-of-supply, value-of-supply, hire-purchase, Sharia finance (Murabaha/Musharaka), discounts, loyalty programs, prepaid vouchers, trade-ins, vending machines ?",June 2025 ?,N/A,June 2025 ?,First edition ?,N/A,Current guidance ?,English,"Covers VAT on special arrangements (credit, discounts, prepayments); recommends invoice/payment/delivery triggers; relevant to NTA Ch.6 VAT despite regional focus "
NITDA-ACT-2007,NITDA-ACT-2007-2019-Edition1.pdf,National Information Technology Development Agency Act 2007,pdf ?,National Assembly of Nigeria (Act No. 28 of 2007) ?,Nigeria,Federal,Primary Acts,"Indirect (1% IT levy on telecom/banking cos turnover ??100m, tax-deductible; fund exempt) ?","Companies (telecoms, banks, etc. with turnover ??100m NITDA levy payers) ?",Amended/repealed (NTA 2025 integrates levy into dev levy 4%) ?,Primary agency establishment Act ?,"Establishes NITDA, NITDA Fund (1% levy), IT parks, standards ?",Establishment Statute – NITDA/IT Levy,"NITDA, IT development fund, 1% levy (telecom/banks), FIRS collection, exemptions, repealed by NTA ?",5 Oct 2007 (gazetted) ?,Repealed by NTA 2025 (dev levy replaces NITDA levy) ?,5 Oct 2007 (Gazette); 2019 consolidated ed. ?,Act No. 28 of 2007 (2019 Edition 1) ?,N/A,Repealed (NTA 2025 s.196 consequential amendments) ?,English,"Establishes NITDA (DG, board), functions (IT policy/standards), NITDF (1% levy collected by FIRS, tax-deductible); levy repealed/consolidated into NTA dev levy 4% ?"
